Year,Flux into atmosphere,Sink/source type,Reported value,Units,Value
2006,source,budget imbalance,standard deviation,Pg CO2 yr-1,
2007,source,budget imbalance,standard deviation,Pg CO2 yr-1,
2008,source,budget imbalance,standard deviation,Pg CO2 yr-1,
2009,source,budget imbalance,standard deviation,Pg CO2 yr-1,
2010,source,budget imbalance,standard deviation,Pg CO2 yr-1,
2011,source,budget imbalance,standard deviation,Pg CO2 yr-1,
2012,source,budget imbalance,standard deviation,Pg CO2 yr-1,
2013,source,budget imbalance,standard deviation,Pg CO2 yr-1,
2014,source,budget imbalance,standard deviation,Pg CO2 yr-1,
2015,source,budget imbalance,standard deviation,Pg CO2 yr-1,
2016,source,budget imbalance,standard deviation,Pg CO2 yr-1,
2017,source,budget imbalance,standard deviation,Pg CO2 yr-1,
2018,source,budget imbalance,standard deviation,Pg CO2 yr-1,
1959,source,anthropogenic emissions,standard deviation,Pg CO2 yr-1,2.6
1960,source,anthropogenic emissions,standard deviation,Pg CO2 yr-1,2.61
1961,source,anthropogenic emissions,standard deviation,Pg CO2 yr-1,2.61
1962,source,anthropogenic emissions,standard deviation,Pg CO2 yr-1,2.61
1963,source,anthropogenic emissions,standard deviation,Pg CO2 yr-1,2.62
1964,source,anthropogenic emissions,standard deviation,Pg CO2 yr-1,2.62
1965,source,anthropogenic emissions,standard deviation,Pg CO2 yr-1,2.63
1966,source,anthropogenic emissions,standard deviation,Pg CO2 yr-1,2.63
1967,source,anthropogenic emissions,standard deviation,Pg CO2 yr-1,2.64
1968,source,anthropogenic emissions,standard deviation,Pg CO2 yr-1,2.65
1969,source,anthropogenic emissions,standard deviation,Pg CO2 yr-1,2.66
1970,source,anthropogenic emissions,standard deviation,Pg CO2 yr-1,2.67
1971,source,anthropogenic emissions,standard deviation,Pg CO2 yr-1,2.68
1972,source,anthropogenic emissions,standard deviation,Pg CO2 yr-1,2.69
1973,source,anthropogenic emissions,standard deviation,Pg CO2 yr-1,2.7
1974,source,anthropogenic emissions,standard deviation,Pg CO2 yr-1,2.7
1975,source,anthropogenic emissions,standard deviation,Pg CO2 yr-1,2.7
1976,source,anthropogenic emissions,standard deviation,Pg CO2 yr-1,2.72
1977,source,anthropogenic emissions,standard deviation,Pg CO2 yr-1,2.73
1978,source,anthropogenic emissions,standard deviation,Pg CO2 yr-1,2.74
1979,source,anthropogenic emissions,standard deviation,Pg CO2 yr-1,2.75
1980,source,anthropogenic emissions,standard deviation,Pg CO2 yr-1,2.74
1981,source,anthropogenic emissions,standard deviation,Pg CO2 yr-1,2.73
1982,source,anthropogenic emissions,standard deviation,Pg CO2 yr-1,2.73
1983,source,anthropogenic emissions,standard deviation,Pg CO2 yr-1,2.74
1984,source,anthropogenic emissions,standard deviation,Pg CO2 yr-1,2.75
1985,source,anthropogenic emissions,standard deviation,Pg CO2 yr-1,2.76
1986,source,anthropogenic emissions,standard deviation,Pg CO2 yr-1,2.76
1987,source,anthropogenic emissions,standard deviation,Pg CO2 yr-1,2.78
1988,source,anthropogenic emissions,standard deviation,Pg CO2 yr-1,2.79
1989,source,anthropogenic emissions,standard deviation,Pg CO2 yr-1,2.8
1990,source,anthropogenic emissions,standard deviation,Pg CO2 yr-1,2.81
1991,source,anthropogenic emissions,standard deviation,Pg CO2 yr-1,2.82
1992,source,anthropogenic emissions,standard deviation,Pg CO2 yr-1,2.8
1993,source,anthropogenic emissions,standard deviation,Pg CO2 yr-1,2.81
1994,source,anthropogenic emissions,standard deviation,Pg CO2 yr-1,2.81
1995,source,anthropogenic emissions,standard deviation,Pg CO2 yr-1,2.82
1996,source,anthropogenic emissions,standard deviation,Pg CO2 yr-1,2.84
1997,source,anthropogenic emissions,standard deviation,Pg CO2 yr-1,2.84
1998,source,anthropogenic emissions,standard deviation,Pg CO2 yr-1,2.84
1999,source,anthropogenic emissions,standard deviation,Pg CO2 yr-1,2.84
2000,source,anthropogenic emissions,standard deviation,Pg CO2 yr-1,2.86
2001,source,anthropogenic emissions,standard deviation,Pg CO2 yr-1,2.86
2002,source,anthropogenic emissions,standard deviation,Pg CO2 yr-1,2.88
2003,source,anthropogenic emissions,standard deviation,Pg CO2 yr-1,2.9
2004,source,anthropogenic emissions,standard deviation,Pg CO2 yr-1,2.93
2005,source,anthropogenic emissions,standard deviation,Pg CO2 yr-1,2.96
2006,source,anthropogenic emissions,standard deviation,Pg CO2 yr-1,2.98
2007,source,anthropogenic emissions,standard deviation,Pg CO2 yr-1,3.01
2008,source,anthropogenic emissions,standard deviation,Pg CO2 yr-1,3.02
2009,source,anthropogenic emissions,standard deviation,Pg CO2 yr-1,3.01
2010,source,anthropogenic emissions,standard deviation,Pg CO2 yr-1,3.06
2011,source,anthropogenic emissions,standard deviation,Pg CO2 yr-1,3.09
2012,source,anthropogenic emissions,standard deviation,Pg CO2 yr-1,3.1
2013,source,anthropogenic emissions,standard deviation,Pg CO2 yr-1,3.11
2014,source,anthropogenic emissions,standard deviation,Pg CO2 yr-1,3.11
2015,source,anthropogenic emissions,standard deviation,Pg CO2 yr-1,3.11
2016,source,anthropogenic emissions,standard deviation,Pg CO2 yr-1,3.12
2017,source,anthropogenic emissions,standard deviation,Pg CO2 yr-1,3.13
2018,source,anthropogenic emissions,standard deviation,Pg CO2 yr-1,3.15
1959,sink,natural sink,standard deviation,Pg CO2 yr-1,3.78
1960,sink,natural sink,standard deviation,Pg CO2 yr-1,3.78
1961,sink,natural sink,standard deviation,Pg CO2 yr-1,3.78
1962,sink,natural sink,standard deviation,Pg CO2 yr-1,3.78
1963,sink,natural sink,standard deviation,Pg CO2 yr-1,3.78
1964,sink,natural sink,standard deviation,Pg CO2 yr-1,3.78
1965,sink,natural sink,standard deviation,Pg CO2 yr-1,3.78
1966,sink,natural sink,standard deviation,Pg CO2 yr-1,3.78
1967,sink,natural sink,standard deviation,Pg CO2 yr-1,3.78
1968,sink,natural sink,standard deviation,Pg CO2 yr-1,3.78
1969,sink,natural sink,standard deviation,Pg CO2 yr-1,3.78
1970,sink,natural sink,standard deviation,Pg CO2 yr-1,3.78
1971,sink,natural sink,standard deviation,Pg CO2 yr-1,3.78
1972,sink,natural sink,standard deviation,Pg CO2 yr-1,3.78
1973,sink,natural sink,standard deviation,Pg CO2 yr-1,3.78
1974,sink,natural sink,standard deviation,Pg CO2 yr-1,3.78
1975,sink,natural sink,standard deviation,Pg CO2 yr-1,3.78
1976,sink,natural sink,standard deviation,Pg CO2 yr-1,3.78
1977,sink,natural sink,standard deviation,Pg CO2 yr-1,3.78
1978,sink,natural sink,standard deviation,Pg CO2 yr-1,3.78
1979,sink,natural sink,standard deviation,Pg CO2 yr-1,3.78
1980,sink,natural sink,standard deviation,Pg CO2 yr-1,3.78
1981,sink,natural sink,standard deviation,Pg CO2 yr-1,3.78
1982,sink,natural sink,standard deviation,Pg CO2 yr-1,3.78
1983,sink,natural sink,standard deviation,Pg CO2 yr-1,3.78
1984,sink,natural sink,standard deviation,Pg CO2 yr-1,3.78
1985,sink,natural sink,standard deviation,Pg CO2 yr-1,3.78
1986,sink,natural sink,standard deviation,Pg CO2 yr-1,3.78
1987,sink,natural sink,standard deviation,Pg CO2 yr-1,3.78
1988,sink,natural sink,standard deviation,Pg CO2 yr-1,3.78
1989,sink,natural sink,standard deviation,Pg CO2 yr-1,3.78
1990,sink,natural sink,standard deviation,Pg CO2 yr-1,3.78
1991,sink,natural sink,standard deviation,Pg CO2 yr-1,3.78
1992,sink,natural sink,standard deviation,Pg CO2 yr-1,3.78
1993,sink,natural sink,standard deviation,Pg CO2 yr-1,3.78
1994,sink,natural sink,standard deviation,Pg CO2 yr-1,3.78
1995,sink,natural sink,standard deviation,Pg CO2 yr-1,3.78
1996,sink,natural sink,standard deviation,Pg CO2 yr-1,3.78
1997,sink,natural sink,standard deviation,Pg CO2 yr-1,3.78
1998,sink,natural sink,standard deviation,Pg CO2 yr-1,3.78
1999,sink,natural sink,standard deviation,Pg CO2 yr-1,3.78
2000,sink,natural sink,standard deviation,Pg CO2 yr-1,3.78
2001,sink,natural sink,standard deviation,Pg CO2 yr-1,3.78
2002,sink,natural sink,standard deviation,Pg CO2 yr-1,3.78
2003,sink,natural sink,standard deviation,Pg CO2 yr-1,3.78
2004,sink,natural sink,standard deviation,Pg CO2 yr-1,3.78
2005,sink,natural sink,standard deviation,Pg CO2 yr-1,3.78
2006,sink,natural sink,standard deviation,Pg CO2 yr-1,3.78
2007,sink,natural sink,standard deviation,Pg CO2 yr-1,3.78
2008,sink,natural sink,standard deviation,Pg CO2 yr-1,3.78
2009,sink,natural sink,standard deviation,Pg CO2 yr-1,3.78
2010,sink,natural sink,standard deviation,Pg CO2 yr-1,3.78
2011,sink,natural sink,standard deviation,Pg CO2 yr-1,3.78
2012,sink,natural sink,standard deviation,Pg CO2 yr-1,3.78
2013,sink,natural sink,standard deviation,Pg CO2 yr-1,3.78
2014,sink,natural sink,standard deviation,Pg CO2 yr-1,3.78
2015,sink,natural sink,standard deviation,Pg CO2 yr-1,3.78
2016,sink,natural sink,standard deviation,Pg CO2 yr-1,3.78
2017,sink,natural sink,standard deviation,Pg CO2 yr-1,3.78
2018,sink,natural sink,standard deviation,Pg CO2 yr-1,3.78
